들락날락명,운영시작시간,운영시작분,운영종료시간,운영종료분,연락처,주소,정기휴관일,위도,경도,데이터기준일
다대도서관 들락날락,9,0,20,0,"051-220-5871,4",부산시 사하구 다대낙조2길 9,"월요일, 법정공휴일",35.050452,128.9646824,2025-07-09
백양낙조전망대 들락날락,9,0,20,0,051-310-4934,부산시 사상구 백양대로 499 (주례동),월요일 및 법정공휴일,35.1539032,128.9974825,2025-07-09
강서기적의도서관 들락날락,9,0,18,0,"051-970-2375, 051-970-2378",부산광역시 강서구 명지오션시티10로 80,"매주 월요일 및 법정공휴일, 기타 도서관장이 필요하다고 인정하는 날",35.0861845,128.9047562,2025-07-09
보수동책방골목어린이도서관 들락날락,10,0,20,0,051-255-9141,중구 대청로 57-16,매주 월요일,35.103384,129.0262411,2025-07-09
서구 숲속놀이터 들락날락,9,30,17,30,070-8833-4167~4168,서구 꽃마을로163번길 73(구덕문화공원 내),"월요일, 법정공휴일",35.1264342,129.0057515,2025-07-09
영화의전당 들락날락,10,0,17,30,051-780-6097/6197,해운대구 수영강변대로 120 영화의전당 비프힐 1층,"매주 월요일, 1월1일, 설연휴, 추석연휴 등",35.1710632,129.1270965,2025-07-09
영도구 자원순환센터 들락날락,9,30,17,30,051-419-4469,영도구 해양로 202(동삼동),"매주 월요일, 법정공휴일",35.0879673,129.0719837,2025-07-09
애니랑Busan 들락날락,9,0,19,0,051-921-1051,"동구 자유평화로 30, 1층","매주 월요일, 법정공휴일",35.1412133,129.0632058,2025-07-09
영도도서관 들락날락,9,0,18,0,051-419-4834,"영도구 함지로79번길 6, 영도도서관 1층 및 지하1층","매주 월요일, 법정공휴일",35.0756068,129.0664973,2025-07-09
영선나릿작은도서관 들락날락,9,0,18,0,"051-419-5528,5525","영도구 꿈나무길 25(영선동1가), 영선1동행정복지센터 지하1층",주말 및 법정공휴일,35.0902679,129.0447418,2025-07-09
꿈꾸는작은도서관 들락날락,10,0,19,0,051-220-5258,사하구 하신중앙로 185 사하구 제2청사 A동 5층,"토~일, 법정공휴일",35.0949852,128.9615501,2025-07-09
부산119안전체험관,10,0,17,0,051-760-5833,동래구 우장춘로 117,"매주 월요일, 공휴일 다음날",35.2179289,129.074259,2025-07-09
꿈자람작은도서관 들락날락,9,0,18,0,051-802-6383,부산진구 전포대로190번길 35 (전포종합사회복지관),일요일 및 법정공휴일,35.1536654,129.0675469,2025-07-09
대동골문화센터 작은도서관 들락날락,9,0,18,0,051-607-6554/3382,남구 황령대로319번가길 147,"월요일, 명절연휴",35.1524234,129.088999,2025-07-09
상학도서관 들락날락,9,0,18,0,051-309-6177,북구 상학산복길215,매주 월요일 및 법정공휴일,35.2171644,129.0402205,2025-07-09
솔밭작은도서관 들락날락,9,0,18,0,051-309-6178,북구 금곡대로 324번길 29(화명동) 2층,매주 월요일 및 법정공휴일,35.237291,129.0157802,2025-07-09
