연번,구군명,행정동,기관명,주소,연락처,full_addr,lon,lat,matched_query
1,중구,대청동,대청 다함께돌봄센터,중구 중구로 97(대청동4가),051-441-2588,부산광역시 중구 중구로 97(대청동4가),129.031185627618,35.1055474017973,부산광역시 중구 중구로 97(대청동4가)
2,중구,영주1동,중구 다함께돌봄센터,중구 초량상로7번길 11(영주동),051-441-5600,부산광역시 중구 초량상로7번길 11(영주동),129.034119929818,35.1132148418875,부산광역시 중구 초량상로7번길 11(영주동)
3,서구,부민동,서구부민다함께돌봄센터,"서구 구덕로250번길 6, 2층(부민동, 부민동복합센터)",051-248-2480,"부산광역시 서구 구덕로250번길 6, 2층(부민동, 부민동복합센터)",129.020558799288,35.1067807800671,"부산광역시 서구 구덕로250번길 6, 2층(부민동, 부민동복합센터)"
4,서구,서대신1동,서구대신해모로다함께돌봄센터,"서구 대티로 178, 주민편의시설(서대신동2가, 대신해모로센트럴아파트)",051-231-0109,"부산광역시 서구 대티로 178, 주민편의시설(서대신동2가, 대신해모로센트럴아파트)",129.011559245152,35.1113590671005,"부산광역시 서구 대티로 178, 주민편의시설(서대신동2가, 대신해모로센트럴아파트)"
5,서구,서대신3동,다함께돌봄센터 파란나래,"서구 망양로 29, 2층(서대신동3가)",070-4085-3004,"부산광역시 서구 망양로 29, 2층(서대신동3가)",129.013465283312,35.1133107217697,"부산광역시 서구 망양로 29, 2층(서대신동3가)"
6,서구,암남동,송도다함께돌봄센터,"서구 송도해변로 192, B동 4층(암남동, 송도힐스테이트이진베이시티)",051-257-2657,"부산광역시 서구 송도해변로 192, B동 4층(암남동, 송도힐스테이트이진베이시티)",129.022924973587,35.0787637032665,"부산광역시 서구 송도해변로 192, B동 4층(암남동, 송도힐스테이트이진베이시티)"
7,서구,충무동,다함께돌봄센터 하랑플러스,"서구 구덕로142번길 31, 2층(토성동4가)",051-245-7114,"부산광역시 서구 구덕로142번길 31, 2층(토성동4가)",129.022844823688,35.0977469189998,"부산광역시 서구 구덕로142번길 31, 2층(토성동4가)"
8,동구,범일1동,비엔나돌봄센터,"동구 범곡로 8-1, 2층(범일동)",051-639-8485,"부산광역시 동구 범곡로 8-1, 2층(범일동)",129.056049957456,35.1388609624193,"부산광역시 동구 범곡로 8-1, 2층(범일동)"
9,동구,초량3동,다함께돌봄초량센터,"동구 초량중로 113(초량동, 이바구복합문화체육센터)",051-603-0215,"부산광역시 동구 초량중로 113(초량동, 이바구복합문화체육센터)",129.04051583118,35.1217010539623,"부산광역시 동구 초량중로 113(초량동, 이바구복합문화체육센터)"
10,영도구,동삼1동,동삼다함께돌봄센터,영도구 동삼로93번길 33(동삼동),051-404-2660,부산광역시 영도구 동삼로93번길 33(동삼동),129.068858086022,35.0816770831338,부산광역시 영도구 동삼로93번길 33(동삼동)
11,영도구,동삼1동,동삼마린 다함께돌봄센터,영도구 해양로 307(동삼동),051-403-0304,부산광역시 영도구 해양로 307(동삼동),129.076042521922,35.081300033179,부산광역시 영도구 해양로 307(동삼동)
12,영도구,봉래1동,봉래다함께돌봄센터,영도구 대교로46번길 50(봉래동2가),051-412-9980,부산광역시 영도구 대교로46번길 50(봉래동2가),129.04291224725,35.0952426392098,부산광역시 영도구 대교로46번길 50(봉래동2가)
13,영도구,영선1동,신선제일다함께돌봄센터,"영도구 영봉길 90, 2층(신선동1가)",051-412-1896,"부산광역시 영도구 영봉길 90, 2층(신선동1가)",129.045138658956,35.0908457548827,"부산광역시 영도구 영봉길 90, 2층(신선동1가)"
14,부산진구,범천2동,범천다함께돌봄센터,"부산진구 신암로 66, 102동 4층(범천동, 범천LH아파트)",051-637-5777,"부산광역시 부산진구 신암로 66, 102동 4층(범천동, 범천LH아파트)",129.054658772275,35.1474350919207,"부산광역시 부산진구 신암로 66, 102동 4층(범천동, 범천LH아파트)"
15,부산진구,부전2동,부전다함께돌봄센터,"부산진구 신천대로126번길 42, 2층(부전동, 엘루체)",051-808-0828,"부산광역시 부산진구 신천대로126번길 42, 2층(부전동, 엘루체)",129.052378769375,35.1558216840151,"부산광역시 부산진구 신천대로126번길 42, 2층(부전동, 엘루체)"
16,부산진구,양정1동,양정다함께돌봄센터,"부산진구 범양로125번길 19, 1층(양정동, 부산진구 기적의도서관)",051-715-2024,"부산광역시 부산진구 범양로125번길 19, 1층(양정동, 부산진구 기적의도서관)",129.06470157938,35.1740314030824,"부산광역시 부산진구 범양로125번길 19, 1층(양정동, 부산진구 기적의도서관)"
17,부산진구,연지동,연지다함께돌봄센터,"부산진구 동평로229번길 17, 3층(연지동)",051-959-1042,"부산광역시 부산진구 동평로229번길 17, 3층(연지동)",129.051647595882,35.1706269340699,"부산광역시 부산진구 동평로229번길 17, 3층(연지동)"
18,부산진구,전포2동,전포다함께돌봄센터,"부산진구 중앙대로 862, 101동 1층(전포동)",051-819-9504,"부산광역시 부산진구 중앙대로 862, 101동 1층(전포동)",129.067481222144,35.1668703124502,"부산광역시 부산진구 중앙대로 862, 101동 1층(전포동)"
19,부산진구,초읍동,초읍초등학교 학교돌봄터,부산진구 성지로104번길 26(초읍동),051-797-9479,부산광역시 부산진구 성지로104번길 26(초읍동),129.053987532357,35.1807331652391,부산광역시 부산진구 성지로104번길 26(초읍동)
20,동래구,수민동,동래 다함께돌봄센터,"동래구 반송로 164, 1층(낙민동, 행복주택)",051-557-2657,"부산광역시 동래구 반송로 164, 1층(낙민동, 행복주택)",129.094173933018,35.1959409497734,"부산광역시 동래구 반송로 164, 1층(낙민동, 행복주택)"
21,동래구,명륜동,동래센트럴파크하이츠다함께돌봄센터,"동래구 문화로 33, 207동 1층(명륜동, 동래센트럴파크하이츠2차 주민공동시설)",051-557-5078,"부산광역시 동래구 문화로 33, 207동 1층(명륜동, 동래센트럴파크하이츠2차 주민공동시설)",129.086645725455,35.2110693558213,"부산광역시 동래구 문화로 33, 207동 1층(명륜동, 동래센트럴파크하이츠2차 주민공동시설)"
22,동래구,온천2동,동래제일 다함께돌봄센터,"동래구 충렬대로 85, 4층(온천동)",051-553-1215,"부산광역시 동래구 충렬대로 85, 4층(온천동)",129.070627856297,35.2078956642961,"부산광역시 동래구 충렬대로 85, 4층(온천동)"
23,남구,대연6동,못골다함께돌봄센터,"남구 못골로 19, 남구청 별관 2층(대연동)",051-791-0712,"부산광역시 남구 못골로 19, 남구청 별관 2층(대연동)",129.084428572618,35.1365216386863,"부산광역시 남구 못골로 19, 남구청 별관 2층(대연동)"
24,남구,문현3동,문현아이꿈키움터,"남구 문현로 36-1(문현동, 문현경동리인)",051-632-1189,"부산광역시 남구 문현로 36-1(문현동, 문현경동리인)",129.074276365533,35.1409691251054,"부산광역시 남구 문현로 36-1(문현동, 문현경동리인)"
25,남구,용당동,용당다함께돌봄센터,"남구 신선로 396, 2층(용당동, 용당동 복합청사)",051-900-9909,"부산광역시 남구 신선로 396, 2층(용당동, 용당동 복합청사)",129.098508142216,35.1204259087324,"부산광역시 남구 신선로 396, 2층(용당동, 용당동 복합청사)"
26,남구,용호2동,오륙도다함께돌봄센터,"남구 용주로 12, 2층(용호동, 용호2동복합청사)",051-622-2999,"부산광역시 남구 용주로 12, 2층(용호동, 용호2동복합청사)",129.111660014421,35.1128270148656,"부산광역시 남구 용주로 12, 2층(용호동, 용호2동복합청사)"
27,북구,구포1동,북구다함께돌봄센터 구포아이꿈자람터,"북구 낙동대로1762번길 75(구포동, 구포1동행정복지센터)",051-342-3690,"부산광역시 북구 낙동대로1762번길 75(구포동, 구포1동행정복지센터)",129.00111165101,35.2064124197259,"부산광역시 북구 낙동대로1762번길 75(구포동, 구포1동행정복지센터)"
28,북구,금곡동,북구다함께돌봄센터 율리아이꿈자람터,"북구 효열로 1, 105동 주민공동시설(금곡동, 율리벽산블루밍아파트)",051-361-2657,"부산광역시 북구 효열로 1, 105동 주민공동시설(금곡동, 율리벽산블루밍아파트)",129.014089697572,35.2489684522194,"부산광역시 북구 효열로 1, 105동 주민공동시설(금곡동, 율리벽산블루밍아파트)"
29,북구,만덕3동,북구다함께돌봄센터 만덕아이꿈자람터,"북구 만덕3로 14, 2층(만덕동, 신성경로당)",051-343-2200,"부산광역시 북구 만덕3로 14, 2층(만덕동, 신성경로당)",129.025351851226,35.2124289196788,"부산광역시 북구 만덕3로 14, 2층(만덕동, 신성경로당)"
30,해운대구,반송1동,반송다함께돌봄센터,"해운대구 아랫반송로26번길 57-24, 3층(반송동, 우당탕탕놀이터)",051-545-2680,"부산광역시 해운대구 아랫반송로26번길 57-24, 3층(반송동, 우당탕탕놀이터)",129.147307809847,35.224645771929,"부산광역시 해운대구 아랫반송로26번길 57-24, 3층(반송동, 우당탕탕놀이터)"
31,해운대구,반여1동,반여다함께돌봄센터,"해운대구 선수촌로 122, 주민공동시설(반여동, 아시아선수촌아파트)",051-522-5104,"부산광역시 해운대구 선수촌로 122, 주민공동시설(반여동, 아시아선수촌아파트)",129.121681336433,35.203871411036,"부산광역시 해운대구 선수촌로 122, 주민공동시설(반여동, 아시아선수촌아파트)"
32,해운대구,우2동,우동다함께돌봄센터,"해운대구 해운대로 428, 관리동 2층(우동, 동부올림픽타운)",051-746-2333,"부산광역시 해운대구 해운대로 428, 관리동 2층(우동, 동부올림픽타운)",129.139840566086,35.1668836722389,"부산광역시 해운대구 해운대로 428, 관리동 2층(우동, 동부올림픽타운)"
33,해운대구,재송2동,재송다함께돌봄센터,"해운대구 재반로 151-21, 3층(재송동, 해운대청소년수련관)",051-780-1890,"부산광역시 해운대구 재반로 151-21, 3층(재송동, 해운대청소년수련관)",129.127084171705,35.1922003956276,"부산광역시 해운대구 재반로 151-21, 3층(재송동, 해운대청소년수련관)"
34,해운대구,좌2동,좌동다함께돌봄센터,"해운대구 좌동순환로 302, 2층(좌동, 좌2동행정복지센터)",051-714-7494,"부산광역시 해운대구 좌동순환로 302, 2층(좌동, 좌2동행정복지센터)",129.182597641773,35.1690940028058,"부산광역시 해운대구 좌동순환로 302, 2층(좌동, 좌2동행정복지센터)"
35,사하구,괴정2동,대티아이자람터,"사하구 대티로 59, 2층(괴정동)",051-208-4456,"부산광역시 사하구 대티로 59, 2층(괴정동)",129.005696510356,35.1065428402639,"부산광역시 사하구 대티로 59, 2층(괴정동)"
36,사하구,구평동,사하 아이자람터,"사하구 서포로30번길 26, 커뮤니티센터(구평동, e편한세상사하아파트1차)",051-262-4588,"부산광역시 사하구 서포로30번길 26, 커뮤니티센터(구평동, e편한세상사하아파트1차)",128.986262867272,35.0809670275315,"부산광역시 사하구 서포로30번길 26, 커뮤니티센터(구평동, e편한세상사하아파트1차)"
37,사하구,다대2동,다대다락아이자람터,사하구 다대로429번길 23(다대동),051-265-3147,부산광역시 사하구 다대로429번길 23(다대동),128.981312221789,35.0637294594342,부산광역시 사하구 다대로429번길 23(다대동)
38,사하구,당리동,사하중앙아이자람터,"사하구 승학로 123, 3층(당리동)",051-710-1332,"부산광역시 사하구 승학로 123, 3층(당리동)",128.980938091078,35.1037548417316,"부산광역시 사하구 승학로 123, 3층(당리동)"
39,사하구,신평1동,동매선우아이자람터,사하구 장평로 285(신평동),051-206-4456,부산광역시 사하구 장평로 285(신평동),128.972562910416,35.0918619631235,부산광역시 사하구 장평로 285(신평동)
40,사하구,장림1동,장림꿈꾸는아이자람터,사하구 하신중앙로 8(장림동),051-266-3326,부산광역시 사하구 하신중앙로 8(장림동),128.964867843063,35.0797084232912,부산광역시 사하구 하신중앙로 8(장림동)
