연번,구군명,법정동,행정동,기관명,주소,연락처,운영요일,휴무일,(학기)시작,(학기)종료,(방학)시작,(방학)종료,이용대상,이용요금,full_addr,lon,lat,match_type,matched_query
1,중구,보수동1가,보수동,동광해들지역아동센터,중구 중구로 63(보수동1가),051-246-7755,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 중구 중구로 63(보수동1가),129.028068699186,35.103647298719,address_full,부산광역시 중구 중구로 63(보수동1가)
2,중구,보수동3가,보수동,희망지역아동센터,중구 흑교로45번길 13(보수동3가),051-243-0912,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 중구 흑교로45번길 13(보수동3가),129.023677294097,35.1035751687538,address_full,부산광역시 중구 흑교로45번길 13(보수동3가)
3,중구,영주동,영주1동,지수지역아동센터,중구 대영로 242번길 4(영주동),070-8141-1001,월-금,"토, 일, 공휴일",10:30,19:30,10:30,19:30,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 중구 대영로 242번길 4(영주동),129.037040117767,35.1117340032294,address_full,부산광역시 중구 대영로 242번길 4(영주동)
4,서구,남부민동,남부민2동,해강지역아동센터,"서구 해돋이로 71, 4층(남부민동)",051-241-1161,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료(7,8월 야간연장, 외부일반아동이용료 여부는 미확정)","부산광역시 서구 해돋이로 71, 4층(남부민동)",129.02045626607,35.0853746529089,address_full,"부산광역시 서구 해돋이로 71, 4층(남부민동)"
5,서구,동대신동3가,동대신3동,대신지역아동센터,"서구 구덕로 346번길 17, 3층(동대신동3가)",051-241-5681,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료(7,8월 야간연장, 외부일반아동이용료 여부는 미확정)","부산광역시 서구 구덕로 346번길 17, 3층(동대신동3가)",129.016402740392,35.1149577999223,address_full,"부산광역시 서구 구덕로 346번길 17, 3층(동대신동3가)"
6,서구,동대신동3가,동대신3동,원광지역아동센터,서구 구덕로334번길 19-9(동대신동3가),051-241-5855,월-금,"토, 일, 공휴일",11:00,21:00,11:00,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료(7,8월 야간연장, 외부일반아동이용료 여부는 미확정)",부산광역시 서구 구덕로334번길 19-9(동대신동3가),129.016818304704,35.1142019165094,address_full,부산광역시 서구 구덕로334번길 19-9(동대신동3가)
7,서구,부민동2가,부민동,부민지역아동센터,"서구 임시수도기념로 11-10, 5층(부민동2가)",051-256-6521,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료(7,8월 야간연장, 외부일반아동이용료 여부는 미확정)","부산광역시 서구 임시수도기념로 11-10, 5층(부민동2가)",129.019088031364,35.102968083127,address_full,"부산광역시 서구 임시수도기념로 11-10, 5층(부민동2가)"
8,동구,범일동,범일1동,The사랑지역아동센터,"동구 망양로897, 3층(범일동)",051-636-0334,월-금,"토, 일, 공휴일",10:00,20:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동구 망양로897, 3층(범일동)",129.049485735182,35.1401637238923,address_full,"부산광역시 동구 망양로897, 3층(범일동)"
9,동구,범일동,범일1동,범일지역아동센터,동구 범곡로33번길 40(범일동),051-631-8763,월-토,"일, 공휴일",10:00,20:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 동구 범곡로33번길 40(범일동),129.054202164285,35.1396715495505,address_full,부산광역시 동구 범곡로33번길 40(범일동)
10,동구,범일동,범일1동,어울림지역아동센터,동구 범곡북로14번길 21(범일동),051-633-8059,월-금,"토, 일, 공휴일",10:00,20:00,10:00,19:00,"수급자, 차상위계층 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 동구 범곡북로14번길 21(범일동),129.053179071688,35.1417644598549,address_full,부산광역시 동구 범곡북로14번길 21(범일동)
11,동구,범일동,범일1동,우리들의집지역아동센터,동구 망양로889번길 6(범일동),051-637-6090,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 동구 망양로889번길 6(범일동),129.048482883432,35.1400709253116,address_full,부산광역시 동구 망양로889번길 6(범일동)
12,동구,범일동,범일1동,좌천지역아동센터,"동구중앙대로 495, 3층(범일동)",051-645-6070,월-금,"토, 일, 공휴일",9:00,20:00,8:00,19:00,"수급자, 차상위계층, 장애인, 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동구 중앙대로 495, 3층(범일동)",129.056195543619,35.1374221236949,address_full,"부산광역시 동구 중앙대로 495, 3층(범일동)"
13,동구,수정동,수정1동,수정지역아동센터,동구 초량상로 151-5(수정동),051-468-0046,월-토,"일, 공휴일",9:00,20:00,9:00,20:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),부산광역시 동구 초량상로 151-5(수정동),129.042444603263,35.1244421763308,address_full,부산광역시 동구 초량상로 151-5(수정동)
14,동구,수정동,수정1동,유앤미지역아동센터,"동구 초량중로 133, 3층(수정동)",051-711-0930,월-토,"일, 공휴일",11:00,22:00,11:00,22:00,수급자 등 우선보호아동 50% 이상 그외 일반아동,무료(야간연장 돌봄서비스 포함),"부산광역시 동구 초량중로 133, 3층(수정동)",129.041480130278,35.1233478295251,address_full,"부산광역시 동구 초량중로 133, 3층(수정동)"
